Breakout,Agency Operated,Contractor Operated,Security ATO,Systems in Ongoing Authorization
Department of Agriculture - Rural Development - M,18,1,19,19
Department of Agriculture - Rural Development - L,1,0,1,1
Department of Agriculture - Trade and Foreign Agriculture Affairs - H,0,0,0,0
Department of Agriculture - Trade and Foreign Agriculture Affairs - M,1,1,2,2
Department of Agriculture - Trade and Foreign Agriculture Affairs - L,1,0,1,1
Department of Commerce - Bureau of Economic Analysis - H,0,0,0,0
Department of Commerce - Bureau of Economic Analysis - M,1,0,1,0
Department of Commerce - Bureau of Economic Analysis - L,0,0,0,0
Department of Commerce - Bureau of Industry and Security - H,2,0,2,2
Department of Commerce - Bureau of Industry and Security - M,2,0,2,2
Department of Commerce - Bureau of Industry and Security - L,0,0,0,0
Department of Commerce - Bureau of the Census - H,0,0,0,0
Department of Commerce - Bureau of the Census - M,8,0,8,8
Department of Commerce - Bureau of the Census - L,0,0,0,0
Department of Commerce - Economic Development Administration - H,0,0,0,0
Department of Commerce - Economic Development Administration - M,0,0,0,0
Department of Commerce - Economic Development Administration - L,0,0,0,0
Department of Commerce - FirstNet - H,0,0,0,0
Department of Commerce - FirstNet - M,1,0,1,1
Department of Commerce - FirstNet - L,0,0,0,0
Department of Commerce - International Trade Administration - H,0,0,0,0
Department of Commerce - International Trade Administration - M,8,6,14,0
Department of Commerce - International Trade Administration - L,3,2,5,0
Department of Commerce - Minority Business Development Agency - H,0,0,0,0
Department of Commerce - Minority Business Development Agency - M,0,0,0,0
Department of Commerce - Minority Business Development Agency - L,0,0,0,0
Department of Commerce - National Institute of Standards and Technology - H,4,0,4,4
Department of Commerce - National Institute of Standards and Technology - M,39,0,39,39
Department of Commerce - National Institute of Standards and Technology - L,2,0,2,2
Department of Commerce - National Oceanic and Atmospheric Administration - H,23,1,24,24
Department of Commerce - National Oceanic and Atmospheric Administration - M,50,1,51,51
Department of Commerce - National Oceanic and Atmospheric Administration - L,11,0,11,11
Department of Commerce - National Technical Information Service - H,0,0,0,0
Department of Commerce - National Technical Information Service - M,5,1,6,5
Department of Commerce - National Technical Information Service - L,0,0,0,0
Department of Commerce - National Telecommunications and Information Administration - H,0,0,0,0
Department of Commerce - National Telecommunications and Information Administration - M,6,0,6,0
Department of Commerce - National Telecommunications and Information Administration - L,0,1,1,0
Department of Commerce - Office of Inspector General - H,0,0,0,0
Department of Commerce - Office of Inspector General - M,1,0,1,1
Department of Commerce - Office of Inspector General - L,0,0,0,0
Department of Commerce - Office of the Secretary - H,1,0,1,1
Department of Commerce - Office of the Secretary - M,14,6,20,20
Department of Commerce - Office of the Secretary - L,1,0,1,1
Department of Commerce - U.S. Patent and Trademark Office - H,0,0,0,0
Department of Commerce - U.S. Patent and Trademark Office - M,71,9,80,80
Department of Commerce - U.S. Patent and Trademark Office - L,16,0,16,16
Department of Defense - Army - H,0,0,0,0
Department of Defense - Army - M,0,0,0,0
Department of Defense - Army - L,0,0,0,0
Department of Defense - COCOMS - H,0,0,0,0
Department of Defense - COCOMS - M,0,0,0,0
Department of Defense - COCOMS - L,0,0,0,0
Department of Defense - DFAS - H,0,0,0,0
Department of Defense - DFAS - M,0,0,0,0
Department of Defense - DFAS - L,0,0,0,0
Department of Defense - DISA - H,0,0,0,0
Department of Defense - DISA - M,0,0,0,0
Department of Defense - DISA - L,0,0,0,0
Department of Defense - DLA - H,0,0,0,0
Department of Defense - DLA - M,0,0,0,0
Department of Defense - DLA - L,0,0,0,0
Department of Defense - OSD - H,0,0,0,0
Department of Defense - OSD - M,0,0,0,0
Department of Defense - OSD - L,0,0,0,0
Department of Defense - Other DoD Components - H,0,0,0,0
Department of Defense - Other DoD Components - M,0,0,0,0
Department of Defense - Other DoD Components - L,0,0,0,0
Department of Defense - US Department of the Navy - H,0,0,0,0
Department of Defense - US Department of the Navy - M,0,0,0,0
Department of Defense - US Department of the Navy - L,0,0,0,0
Department of Defense - USAF - H,0,0,0,0
Department of Defense - USAF - M,0,0,0,0
Department of Defense - USAF - L,0,0,0,0
Department of Education - Advisory Committee on Student Financial Assistance - H,0,0,0,0
Department of Education - Advisory Committee on Student Financial Assistance - M,0,0,0,0
Department of Education - Advisory Committee on Student Financial Assistance - L,0,0,0,0
Department of Education - Federal Student Aid - H,0,0,0,0
Department of Education - Federal Student Aid - M,3,50,53,30
Department of Education - Federal Student Aid - L,1,2,3,1
Department of Education - Institute of Education Sciences - H,0,0,0,0
Department of Education - Institute of Education Sciences - M,0,5,5,5
Department of Education - Institute of Education Sciences - L,0,1,1,1
Department of Education - National Assessment Governing Board  - H,0,0,0,0
Department of Education - National Assessment Governing Board  - M,0,0,0,0
Department of Education - National Assessment Governing Board  - L,0,1,0,0
Department of Education - Office for Civil Rights  - H,0,0,0,0
Department of Education - Office for Civil Rights  - M,0,2,2,2
Department of Education - Office for Civil Rights  - L,0,2,1,1
Department of Education - Office of Communications and Outreach - H,0,0,0,0
Department of Education - Office of Communications and Outreach - M,0,2,2,1
Department of Education - Office of Communications and Outreach - L,0,2,1,1
Department of Education - Office of Elementary and Secondary Education - H,0,0,0,0
Department of Education - Office of Elementary and Secondary Education - M,0,4,4,3
Department of Education - Office of Elementary and Secondary Education - L,0,10,9,9
Department of Education - Office of English Language Acquisition - H,0,0,0,0
Department of Education - Office of English Language Acquisition - M,0,0,0,0
Department of Education - Office of English Language Acquisition - L,0,1,1,1
Department of Education - Office of Finance and Operations - H,0,0,0,0
Department of Education - Office of Finance and Operations - M,2,9,11,6
Department of Education - Office of Finance and Operations - L,3,7,10,9
Department of Education - Office of General Counsel - H,0,0,0,0
Department of Education - Office of General Counsel - M,1,1,1,0
Department of Education - Office of General Counsel - L,0,0,0,0
Department of Education - Office of Innovation and Improvement - H,0,0,0,0
Department of Education - Office of Innovation and Improvement - M,0,0,0,0
Department of Education - Office of Innovation and Improvement - L,0,0,0,0
Department of Education - Office of Inspector General - H,0,0,0,0
Department of Education - Office of Inspector General - M,2,1,3,1
Department of Education - Office of Inspector General - L,0,0,0,0
Department of Education - Office of Legislation and Congressional Affairs - H,0,0,0,0
Department of Education - Office of Legislation and Congressional Affairs - M,0,0,0,0
Department of Education - Office of Legislation and Congressional Affairs - L,0,0,0,0
Department of Education - Office of Management - H,0,0,0,0
Department of Education - Office of Management - M,0,0,0,0
Department of Education - Office of Management - L,0,0,0,0
"Department of Education - Office of Planning, Evaluation and Policy Development - H",0,0,0,0
"Department of Education - Office of Planning, Evaluation and Policy Development - M",1,2,3,2
"Department of Education - Office of Planning, Evaluation and Policy Development - L",0,4,4,4
Department of Education - Office of Postsecondary Education - H,0,0,0,0
Department of Education - Office of Postsecondary Education - M,0,2,2,2
Department of Education - Office of Postsecondary Education - L,1,4,5,4
Department of Education - Office of Safe and Drug-Free Schools - H,0,0,0,0
Department of Education - Office of Safe and Drug-Free Schools - M,0,0,0,0
Department of Education - Office of Safe and Drug-Free Schools - L,0,0,0,0
Department of Education - Office of Special Education and Rehabilitative Services - H,0,0,0,0
Department of Education - Office of Special Education and Rehabilitative Services - M,1,2,3,3
Department of Education - Office of Special Education and Rehabilitative Services - L,0,1,1,1
Department of Education - Office of the Chief Financial Officer - H,0,0,0,0
Department of Education - Office of the Chief Financial Officer - M,0,0,0,0
Department of Education - Office of the Chief Financial Officer - L,0,0,0,0
Department of Education - Office of the Chief Information Officer - H,0,0,0,0
Department of Education - Office of the Chief Information Officer - M,4,20,22,4
Department of Education - Office of the Chief Information Officer - L,2,2,4,3
Department of Education - Office of the Deputy Secretary - H,0,0,0,0
Department of Education - Office of the Deputy Secretary - M,0,0,0,0
Department of Education - Office of the Deputy Secretary - L,0,0,0,0
Department of Education - Office of the Secretary - H,0,0,0,0
Department of Education - Office of the Secretary - M,1,2,3,2
Department of Education - Office of the Secretary - L,1,0,0,0
Department of Education - Office of the Under Secretary - H,0,0,0,0
Department of Education - Office of the Under Secretary - M,0,0,0,0
Department of Education - Office of the Under Secretary - L,0,0,0,0
Department of Education - Office of Vocational and Adult Education - H,0,0,0,0
Department of Education - Office of Vocational and Adult Education - M,0,0,0,0
Department of Education - Office of Vocational and Adult Education - L,1,4,5,4
Department of Energy - Energy Information Administration - H,0,0,0,0
Department of Energy - Energy Information Administration - M,0,9,9,0
Department of Energy - Energy Information Administration - L,0,0,0,0
Department of Energy - Infrastructure and Power Marketing Administration - H,6,0,6,3
Department of Energy - Infrastructure and Power Marketing Administration - M,16,0,16,7
Department of Energy - Infrastructure and Power Marketing Administration - L,1,0,1,0
Department of Energy - Nuclear Security - H,1,11,12,10
Department of Energy - Nuclear Security - M,13,120,133,63
Department of Energy - Nuclear Security - L,3,20,23,8
Department of Energy - Science and Innovation - H,0,0,0,0
Department of Energy - Science and Innovation - M,18,62,80,70
Department of Energy - Science and Innovation - L,3,27,30,28
Department of Energy - Staff Offices - H,4,0,4,1
Department of Energy - Staff Offices - M,85,44,129,27
Department of Energy - Staff Offices - L,7,9,16,3
Department of Health and Human Services - Administration for Children and Families - H,0,0,0,0
Department of Health and Human Services - Administration for Children and Families - M,19,22,41,0
Department of Health and Human Services - Administration for Children and Families - L,14,37,51,0
Department of Health and Human Services - Administration for Community Living - H,0,0,0,0
Department of Health and Human Services - Administration for Community Living - M,0,5,5,5
Department of Health and Human Services - Administration for Community Living - L,0,1,0,0
Department of Health and Human Services - Agency for Healthcare Research and Quality - H,0,0,0,0
Department of Health and Human Services - Agency for Healthcare Research and Quality - M,6,16,22,0
Department of Health and Human Services - Agency for Healthcare Research and Quality - L,0,8,8,0
Department of Health and Human Services - Centers for Disease Control and Prevention - H,11,2,13,0
Department of Health and Human Services - Centers for Disease Control and Prevention - M,254,19,273,0
Department of Health and Human Services - Centers for Disease Control and Prevention - L,163,15,178,0
Department of Health and Human Services - Centers for Medicare and Medicaid Services - H,2,17,19,0
Department of Health and Human Services - Centers for Medicare and Medicaid Services - M,65,139,204,3
Department of Health and Human Services - Centers for Medicare and Medicaid Services - L,4,5,9,0
Department of Health and Human Services - Food and Drug Administration - H,14,0,14,14
