Breakout,Agency Operated,Contractor Operated,Security ATO,Systems in Ongoing Authorization
Department of State - Diplomatic Security - H,11,8,19,0
Department of State - Diplomatic Security - M,12,4,16,0
Department of State - Diplomatic Security - L,0,2,2,0
Department of State - Economic & Business Affairs - H,0,0,0,0
Department of State - Economic & Business Affairs - M,0,0,0,0
Department of State - Economic & Business Affairs - L,0,0,0,0
Department of State - Education and Cultural Affairs/International Information Programs - H,0,0,0,0
Department of State - Education and Cultural Affairs/International Information Programs - M,9,1,9,0
Department of State - Education and Cultural Affairs/International Information Programs - L,5,4,9,0
Department of State - Foreign Service Institute - H,0,0,0,0
Department of State - Foreign Service Institute - M,1,3,4,0
Department of State - Foreign Service Institute - L,8,2,8,0
Department of State - Global Public Affairs - H,0,0,0,0
Department of State - Global Public Affairs - M,0,1,1,0
Department of State - Global Public Affairs - L,2,3,0,0
Department of State - GTM - H,0,0,0,0
Department of State - GTM - M,39,17,56,0
Department of State - GTM - L,7,2,9,0
Department of State - Information Resource Management - H,13,4,17,0
Department of State - Information Resource Management - M,29,18,43,0
Department of State - Information Resource Management - L,6,3,8,0
Department of State - Intelligence and Research  - H,0,0,0,0
Department of State - Intelligence and Research  - M,0,0,0,0
Department of State - Intelligence and Research  - L,0,0,0,0
Department of State - International Narcotics and Law Enforcement Affairs - H,0,0,0,0
Department of State - International Narcotics and Law Enforcement Affairs - M,3,0,3,0
Department of State - International Narcotics and Law Enforcement Affairs - L,0,1,1,0
Department of State - Legislative Affairs - H,0,0,0,0
Department of State - Legislative Affairs - M,0,0,0,0
Department of State - Legislative Affairs - L,0,0,0,0
Department of State - Medical Services - H,0,0,0,0
Department of State - Medical Services - M,2,3,5,0
Department of State - Medical Services - L,0,0,0,0
"Department of State - Oceans and International Environment and Scientific Affairs/Democrary, Human Rights, and Labor - H",0,0,0,0
"Department of State - Oceans and International Environment and Scientific Affairs/Democrary, Human Rights, and Labor - M",0,3,3,0
"Department of State - Oceans and International Environment and Scientific Affairs/Democrary, Human Rights, and Labor - L",0,0,0,0
Department of State - Office of the Legal Advisor - H,3,0,0,0
Department of State - Office of the Legal Advisor - M,0,0,0,0
Department of State - Office of the Legal Advisor - L,0,0,0,0
Department of State - Office of the Secretary - H,1,0,1,0
Department of State - Office of the Secretary - M,6,3,6,0
Department of State - Office of the Secretary - L,1,1,2,0
Department of State - Office of U.S. Foreign Assistance - H,0,0,0,0
Department of State - Office of U.S. Foreign Assistance - M,1,0,1,0
Department of State - Office of U.S. Foreign Assistance - L,0,0,0,0
Department of State - OFM - H,0,0,0,0
Department of State - OFM - M,1,0,1,0
Department of State - OFM - L,0,0,0,0
Department of State - Overseas Building - H,0,0,0,0
Department of State - Overseas Building - M,9,1,8,0
Department of State - Overseas Building - L,7,3,0,0
"Department of State - Population, Refugees, and Mitigation - H",0,0,0,0
"Department of State - Population, Refugees, and Mitigation - M",1,2,3,0
"Department of State - Population, Refugees, and Mitigation - L",0,0,0,0
Department of State - Public Affairs - H,0,0,0,0
Department of State - Public Affairs - M,0,0,0,0
Department of State - Public Affairs - L,0,0,0,0
Department of State - Public Diplomacy and Public Affairs - H,0,0,0,0
Department of State - Public Diplomacy and Public Affairs - M,0,3,3,0
Department of State - Public Diplomacy and Public Affairs - L,0,0,0,0
Department of State - REG: Africa - H,0,0,0,0
Department of State - REG: Africa - M,0,0,0,0
Department of State - REG: Africa - L,0,0,0,0
Department of State - REG: East Asia & Pacific - H,0,0,0,0
Department of State - REG: East Asia & Pacific - M,1,0,1,0
Department of State - REG: East Asia & Pacific - L,0,0,0,0
Department of State - REG: Europe - H,0,0,0,0
Department of State - REG: Europe - M,1,3,4,0
Department of State - REG: Europe - L,0,3,3,0
Department of State - REG: International Organizations - H,0,0,0,0
Department of State - REG: International Organizations - M,0,0,0,0
Department of State - REG: International Organizations - L,2,0,2,0
Department of State - REG: Near East & Asia - H,0,0,0,0
Department of State - REG: Near East & Asia - M,0,1,1,0
Department of State - REG: Near East & Asia - L,0,1,1,0
Department of State - REG: South & Central Asia - H,0,0,0,0
Department of State - REG: South & Central Asia - M,0,0,0,0
Department of State - REG: South & Central Asia - L,0,0,0,0
Department of State - REG: Western Hemisphere - H,0,0,0,0
Department of State - REG: Western Hemisphere - M,1,0,1,0
Department of State - REG: Western Hemisphere - L,0,0,0,0
Department of State - Under Secretary for Management - H,0,1,1,0
Department of State - Under Secretary for Management - M,1,0,0,0
Department of State - Under Secretary for Management - L,0,0,0,0
Department of the Interior - Bureau of Indian Affairs and Bureau of Indian Education - H,0,0,0,0
Department of the Interior - Bureau of Indian Affairs and Bureau of Indian Education - M,17,2,19,19
Department of the Interior - Bureau of Indian Affairs and Bureau of Indian Education - L,1,0,1,1
Department of the Interior - Bureau of Land Management - H,0,0,0,0
Department of the Interior - Bureau of Land Management - M,20,3,23,0
Department of the Interior - Bureau of Land Management - L,2,0,2,0
Department of the Interior - Bureau of Reclamation - H,0,0,0,0
Department of the Interior - Bureau of Reclamation - M,28,3,29,15
Department of the Interior - Bureau of Reclamation - L,17,2,16,6
Department of the Interior - Bureau of Safety and Environmental Enforcement - H,0,0,0,0
Department of the Interior - Bureau of Safety and Environmental Enforcement - M,2,7,9,6
Department of the Interior - Bureau of Safety and Environmental Enforcement - L,0,0,0,0
Department of the Interior - Bureau of Trust Funds Administration - H,0,0,0,0
Department of the Interior - Bureau of Trust Funds Administration - M,3,2,5,5
Department of the Interior - Bureau of Trust Funds Administration - L,0,0,0,0
Department of the Interior - National Park Service - H,0,0,0,0
Department of the Interior - National Park Service - M,10,1,11,11
Department of the Interior - National Park Service - L,1,2,3,3
Department of the Interior - Office of Surface Mining Reclamation and Enforcement - H,0,0,0,0
Department of the Interior - Office of Surface Mining Reclamation and Enforcement - M,3,0,2,2
Department of the Interior - Office of Surface Mining Reclamation and Enforcement - L,0,1,1,1
Department of the Interior - Office of the Chief Information Officer - H,1,0,1,0
Department of the Interior - Office of the Chief Information Officer - M,10,5,15,6
Department of the Interior - Office of the Chief Information Officer - L,0,3,3,0
Department of the Interior - Office of the Secretary - H,0,0,0,0
Department of the Interior - Office of the Secretary - M,25,27,52,52
Department of the Interior - Office of the Secretary - L,12,11,23,23
Department of the Interior - United States Fish and Wildlife Service - H,0,0,0,0
Department of the Interior - United States Fish and Wildlife Service - M,11,0,11,11
Department of the Interior - United States Fish and Wildlife Service - L,5,0,5,5
Department of the Interior - United States Geological Survey - H,0,0,0,0
Department of the Interior - United States Geological Survey - M,11,1,12,9
Department of the Interior - United States Geological Survey - L,0,0,0,0
Department of the Treasury - Alcohol and Tobacco Tax and Trade Bureau - H,0,0,0,0
Department of the Treasury - Alcohol and Tobacco Tax and Trade Bureau - M,14,0,14,14
Department of the Treasury - Alcohol and Tobacco Tax and Trade Bureau - L,0,0,0,0
Department of the Treasury - Bureau of Engraving and Printing - H,1,0,1,0
Department of the Treasury - Bureau of Engraving and Printing - M,4,3,7,0
Department of the Treasury - Bureau of Engraving and Printing - L,0,0,0,0
Department of the Treasury - Bureau of the Fiscal Service - H,19,3,22,22
Department of the Treasury - Bureau of the Fiscal Service - M,33,4,37,37
Department of the Treasury - Bureau of the Fiscal Service - L,5,1,6,6
Department of the Treasury - Community Development Financial Institution Fund - H,0,0,0,0
Department of the Treasury - Community Development Financial Institution Fund - M,1,0,1,1
Department of the Treasury - Community Development Financial Institution Fund - L,0,0,0,0
Department of the Treasury - Departmental Offices - H,13,11,24,2
Department of the Treasury - Departmental Offices - M,17,13,29,1
Department of the Treasury - Departmental Offices - L,2,0,2,0
Department of the Treasury - Financial Crimes Enforcement Network - H,8,0,8,8
Department of the Treasury - Financial Crimes Enforcement Network - M,0,0,0,0
Department of the Treasury - Financial Crimes Enforcement Network - L,0,0,0,0
Department of the Treasury - Internal Revenue Service - H,10,1,10,10
Department of the Treasury - Internal Revenue Service - M,140,19,141,141
Department of the Treasury - Internal Revenue Service - L,1,0,0,0
Department of the Treasury - Office of the Inspector General - H,0,0,0,0
Department of the Treasury - Office of the Inspector General - M,1,0,1,0
Department of the Treasury - Office of the Inspector General - L,0,0,0,0
Department of the Treasury - Treasury Inspector General for Tax Administration - H,0,0,0,0
Department of the Treasury - Treasury Inspector General for Tax Administration - M,2,0,1,1
Department of the Treasury - Treasury Inspector General for Tax Administration - L,0,0,0,0
Department of the Treasury - United States Mint - H,0,1,1,0
Department of the Treasury - United States Mint - M,8,6,14,0
Department of the Treasury - United States Mint - L,1,0,1,0
Department of Transportation - Federal Aviation Administration - H,23,1,21,0
Department of Transportation - Federal Aviation Administration - M,107,39,134,0
Department of Transportation - Federal Aviation Administration - L,41,27,63,0
Department of Transportation - Federal Highway Administration - H,0,3,0,0
Department of Transportation - Federal Highway Administration - M,0,13,13,13
Department of Transportation - Federal Highway Administration - L,0,3,3,3
Department of Transportation - Federal Motor Carrier Safety Administration - H,0,0,0,0
Department of Transportation - Federal Motor Carrier Safety Administration - M,16,3,19,19
Department of Transportation - Federal Motor Carrier Safety Administration - L,0,0,0,0
Department of Transportation - Federal Railroad Administration - H,0,0,0,0
Department of Transportation - Federal Railroad Administration - M,6,1,7,7
Department of Transportation - Federal Railroad Administration - L,1,0,1,1
Department of Transportation - Federal Transit Administration - H,0,0,0,0
Department of Transportation - Federal Transit Administration - M,0,4,4,4
Department of Transportation - Federal Transit Administration - L,0,0,0,0
Department of Transportation - Great Lakes St. Lawrence Seaway Development Corporation - H,0,0,0,0
Department of Transportation - Great Lakes St. Lawrence Seaway Development Corporation - M,0,0,0,0
Department of Transportation - Great Lakes St. Lawrence Seaway Development Corporation - L,0,0,0,0
Department of Transportation - Maritime Administration - H,0,0,0,0
Department of Transportation - Maritime Administration - M,0,6,4,4
Department of Transportation - Maritime Administration - L,0,4,3,3
Department of Transportation - National Highway Traffic Safety Administration - H,0,0,0,0
Department of Transportation - National Highway Traffic Safety Administration - M,0,13,13,0
Department of Transportation - National Highway Traffic Safety Administration - L,0,3,3,0
Department of Transportation - Office of the Inspector General - H,0,0,0,0
Department of Transportation - Office of the Inspector General - M,3,0,3,0
Department of Transportation - Office of the Inspector General - L,0,0,0,0
Department of Transportation - Office of the Secretary - H,0,2,2,2
Department of Transportation - Office of the Secretary - M,7,29,36,36
Department of Transportation - Office of the Secretary - L,0,2,2,2
Department of Transportation - Pipeline and Hazardous Materials Safety Administration - H,0,0,0,0
Department of Transportation - Pipeline and Hazardous Materials Safety Administration - M,0,3,3,3
Department of Transportation - Pipeline and Hazardous Materials Safety Administration - L,0,3,3,2
Department of Veterans Affairs - Electronic Health Records Management  - H,1,0,1,1
Department of Veterans Affairs - Electronic Health Records Management  - M,4,9,13,11
Department of Veterans Affairs - Electronic Health Records Management  - L,0,0,0,0
Department of Veterans Affairs - Enterprise Program Management Office - H,58,44,100,66
Department of Veterans Affairs - Enterprise Program Management Office - M,97,114,210,146
Department of Veterans Affairs - Enterprise Program Management Office - L,19,28,47,40
Department of Veterans Affairs - IT Operations and Services - H,40,5,45,35
Department of Veterans Affairs - IT Operations and Services - M,160,7,167,161
Department of Veterans Affairs - IT Operations and Services - L,10,5,15,12
Department of Veterans Affairs - Medical Devices - H,1,0,1,0
Department of Veterans Affairs - Medical Devices - M,3,0,3,2
Department of Veterans Affairs - Medical Devices - L,0,0,0,0
Department of Veterans Affairs - Other Federal Agency - H,0,2,2,2
Department of Veterans Affairs - Other Federal Agency - M,0,6,6,6
Department of Veterans Affairs - Other Federal Agency - L,0,1,1,0
Election Assistance Commission - Election Assistance Commission - H,0,0,0,0
Election Assistance Commission - Election Assistance Commission - M,2,0,2,0
Election Assistance Commission - Election Assistance Commission - L,0,0,0,0
Environmental Protection Agency - Environmental Protection Agency - H,1,0,1,0
Environmental Protection Agency - Environmental Protection Agency - M,65,24,89,0
Environmental Protection Agency - Environmental Protection Agency - L,23,5,28,0
Equal Employment Opportunity Commission - Equal Employment Opportunity Commission - H,0,0,0,0
Equal Employment Opportunity Commission - Equal Employment Opportunity Commission - M,1,3,4,0
Equal Employment Opportunity Commission - Equal Employment Opportunity Commission - L,0,0,0,0
Export-Import Bank of the United States - Export-Import Bank of the United States - H,0,0,0,0
Export-Import Bank of the United States - Export-Import Bank of the United States - M,8,12,20,3
Export-Import Bank of the United States - Export-Import Bank of the United States - L,1,1,2,0
Farm Credit Administration - Farm Credit Administration - H,0,0,0,0
Farm Credit Administration - Farm Credit Administration - M,3,0,3,0
Farm Credit Administration - Farm Credit Administration - L,0,0,0,0
Federal Communications Commission - Federal Communications Commission - H,0,0,0,0
Federal Communications Commission - Federal Communications Commission - M,32,3,20,20
Federal Communications Commission - Federal Communications Commission - L,0,0,0,0
Federal Deposit Insurance Corporation - Federal Deposit Insurance Corporation - H,0,0,0,0
Federal Deposit Insurance Corporation - Federal Deposit Insurance Corporation - M,60,21,80,73
Federal Deposit Insurance Corporation - Federal Deposit Insurance Corporation - L,10,2,12,7
Federal Election Commission - Federal Election Commission - H,0,0,0,0
Federal Election Commission - Federal Election Commission - M,2,1,3,0
Federal Election Commission - Federal Election Commission - L,0,0,0,0
Federal Energy Regulatory Commission - Federal Energy Regulatory Commission - H,0,0,0,0
Federal Energy Regulatory Commission - Federal Energy Regulatory Commission - M,7,2,9,9
Federal Energy Regulatory Commission - Federal Energy Regulatory Commission - L,0,0,0,0
Federal Financial Institutions Examination Council - Federal Financial Institutions Examination Council - H,0,0,0,0
Federal Financial Institutions Examination Council - Federal Financial Institutions Examination Council - M,0,0,0,0
Federal Financial Institutions Examination Council - Federal Financial Institutions Examination Council - L,0,0,0,0
Federal Housing Finance Agency - Federal Housing Finance Agency Office of the Inspector General - H,0,0,0,0
Federal Housing Finance Agency - Federal Housing Finance Agency Office of the Inspector General - M,3,11,14,14
Federal Housing Finance Agency - Federal Housing Finance Agency Office of the Inspector General - L,0,2,2,2
Federal Housing Finance Agency - Federal Housing Finance Agency - H,0,0,0,0
Federal Housing Finance Agency - Federal Housing Finance Agency - M,18,25,35,35
Federal Housing Finance Agency - Federal Housing Finance Agency - L,0,4,3,3
Federal Labor Relations Authority - Federal Labor Relations Authority - H,0,0,0,0
Federal Labor Relations Authority - Federal Labor Relations Authority - M,1,11,12,0
Federal Labor Relations Authority - Federal Labor Relations Authority - L,0,0,0,0
Federal Maritime Commission - Federal Maritime Commission - H,0,0,0,0
Federal Maritime Commission - Federal Maritime Commission - M,3,0,3,0
Federal Maritime Commission - Federal Maritime Commission - L,0,0,0,0
Federal Mediation and Conciliation Service - Federal Mediation and Conciliation Service - H,0,0,0,0
Federal Mediation and Conciliation Service - Federal Mediation and Conciliation Service - M,12,3,15,0
Federal Mediation and Conciliation Service - Federal Mediation and Conciliation Service - L,0,0,0,0
Federal Mine Safety and Health Review Commission - Federal Mine Safety and Health Review Commission - H,0,0,0,0
Federal Mine Safety and Health Review Commission - Federal Mine Safety and Health Review Commission - M,0,0,0,0
Federal Mine Safety and Health Review Commission - Federal Mine Safety and Health Review Commission - L,1,2,1,0
Federal Network Resilience - Federal Network Resilience - H,0,0,0,0
Federal Network Resilience - Federal Network Resilience - M,0,0,0,0
Federal Network Resilience - Federal Network Resilience - L,0,0,0,0
Federal Permitting Improvement Steering Council - Federal Permitting Improvement Steering Council - H,0,0,0,0
Federal Permitting Improvement Steering Council - Federal Permitting Improvement Steering Council - M,0,0,0,0
Federal Permitting Improvement Steering Council - Federal Permitting Improvement Steering Council - L,1,0,0,0
Federal Retirement Thrift Investment Board - Federal Retirement Thrift Investment Board - H,0,0,0,0
Federal Retirement Thrift Investment Board - Federal Retirement Thrift Investment Board - M,13,6,19,0
Federal Retirement Thrift Investment Board - Federal Retirement Thrift Investment Board - L,0,0,0,0
Federal Trade Commission - Federal Trade Commission - H,0,0,0,0
Federal Trade Commission - Federal Trade Commission - M,3,3,6,0
Federal Trade Commission - Federal Trade Commission - L,0,0,0,0
General Services Administration - Federal Acquisition Services - H,0,5,5,0
General Services Administration - Federal Acquisition Services - M,10,25,35,0
General Services Administration - Federal Acquisition Services - L,8,3,11,0
General Services Administration - GSA Information Technology - H,0,0,0,0
General Services Administration - GSA Information Technology - M,6,0,6,1
General Services Administration - GSA Information Technology - L,0,0,0,0
General Services Administration - GSA IT Acquisition (IQ) - H,0,0,0,0
General Services Administration - GSA IT Acquisition (IQ) - M,15,1,16,3
General Services Administration - GSA IT Acquisition (IQ) - L,0,0,0,0
General Services Administration - GSA IT Buildings (IP) - H,0,0,0,0
General Services Administration - GSA IT Buildings (IP) - M,15,5,20,10
General Services Administration - GSA IT Buildings (IP) - L,2,0,2,0
General Services Administration - GSA IT Corporate (IC) - H,0,0,0,0
General Services Administration - GSA IT Corporate (IC) - M,11,3,14,4
General Services Administration - GSA IT Corporate (IC) - L,4,0,4,2
General Services Administration - Office of Governmentwide Policy - H,0,0,0,0
General Services Administration - Office of Governmentwide Policy - M,0,3,3,0
General Services Administration - Office of Governmentwide Policy - L,0,0,0,0
Gulf Coast Ecosystem Restoration Council - GCERC - H,0,0,0,0
Gulf Coast Ecosystem Restoration Council - GCERC - M,0,0,0,0
Gulf Coast Ecosystem Restoration Council - GCERC - L,1,0,1,1
Harry S Truman Scholarship Foundation - Harry S Truman Scholarship Foundation - H,0,0,0,0
Harry S Truman Scholarship Foundation - Harry S Truman Scholarship Foundation - M,0,0,0,0
Harry S Truman Scholarship Foundation - Harry S Truman Scholarship Foundation - L,0,0,0,0
Institute of Museum and Library Services - Institute of Museum and Library Services - H,0,0,0,0
Institute of Museum and Library Services - Institute of Museum and Library Services - M,1,0,1,0
Institute of Museum and Library Services - Institute of Museum and Library Services - L,0,3,3,0
Inter-American Foundation - Inter-American Foundation - H,0,0,0,0
Inter-American Foundation - Inter-American Foundation - M,1,1,2,1
Inter-American Foundation - Inter-American Foundation - L,0,1,1,0
International Boundary and Water Commission - U.S International Boundary and Water Commission - H,1,1,2,2
International Boundary and Water Commission - U.S International Boundary and Water Commission - M,1,0,1,1
International Boundary and Water Commission - U.S International Boundary and Water Commission - L,0,0,0,0
International Trade Commission - International Trade Commission - H,0,0,0,0
International Trade Commission - International Trade Commission - M,3,0,3,1
International Trade Commission - International Trade Commission - L,0,0,0,0
James Madison Memorial Fellowship Foundation - James Madison Memorial Fellowship Foundation - H,0,0,0,0
James Madison Memorial Fellowship Foundation - James Madison Memorial Fellowship Foundation - M,0,0,0,0
James Madison Memorial Fellowship Foundation - James Madison Memorial Fellowship Foundation - L,0,0,0,0
Japan-United States Friendship Commission - Japan-United States Friendship Commission - H,0,0,0,0
Japan-United States Friendship Commission - Japan-United States Friendship Commission - M,0,0,0,0
Japan-United States Friendship Commission - Japan-United States Friendship Commission - L,10,0,0,0
Marine Mammal Commission - Marine Mammal Commission - H,0,0,0,0
Marine Mammal Commission - Marine Mammal Commission - M,0,0,0,0
Marine Mammal Commission - Marine Mammal Commission - L,0,0,0,0
Merit Systems Protection Board - Merit Systems Protection Board - H,0,0,0,0
Merit Systems Protection Board - Merit Systems Protection Board - M,1,0,1,1
Merit Systems Protection Board - Merit Systems Protection Board - L,0,0,0,0
Millennium Challenge Corporation - Millennium Challenge Corporation - H,0,0,0,0
Millennium Challenge Corporation - Millennium Challenge Corporation - M,7,2,9,9
Millennium Challenge Corporation - Millennium Challenge Corporation - L,3,0,3,3
Morris K. Udall Foundation - Morris K. Udall Foundation - H,0,0,0,0
Morris K. Udall Foundation - Morris K. Udall Foundation - M,1,0,0,0
Morris K. Udall Foundation - Morris K. Udall Foundation - L,0,0,0,0
National Aeronautics and Space Administration - National Aeronautics and Space Administration - H,48,0,48,44
National Aeronautics and Space Administration - National Aeronautics and Space Administration - M,391,52,443,388
National Aeronautics and Space Administration - National Aeronautics and Space Administration - L,97,12,109,96
National Archives and Records Administration - National Archives and Records Administration - H,2,0,2,2
National Archives and Records Administration - National Archives and Records Administration - M,26,17,41,41
National Archives and Records Administration - National Archives and Records Administration - L,2,1,3,3
National Capital Planning Commission - National Capital Planning Commission - H,0,0,0,0
National Capital Planning Commission - National Capital Planning Commission - M,5,0,4,0
National Capital Planning Commission - National Capital Planning Commission - L,0,0,0,0
National Council on Disability - National Council on Disability - H,0,0,0,0
National Council on Disability - National Council on Disability - M,1,0,0,0
National Council on Disability - National Council on Disability - L,0,0,0,0
National Credit Union Administration - National Credit Union Administration - H,0,0,0,0
National Credit Union Administration - National Credit Union Administration - M,6,5,11,0
National Credit Union Administration - National Credit Union Administration - L,1,1,2,0
National Endowment for the Arts - National Endowment for the Arts - H,0,0,0,0
National Endowment for the Arts - National Endowment for the Arts - M,3,0,3,3
National Endowment for the Arts - National Endowment for the Arts - L,0,0,0,0
National Endowment for the Humanities - National Endowment for the Humanities - H,0,0,0,0
National Endowment for the Humanities - National Endowment for the Humanities - M,2,1,3,0
National Endowment for the Humanities - National Endowment for the Humanities - L,0,0,0,0
National Labor Relations Board - National Labor Relations Board - H,0,0,0,0
National Labor Relations Board - National Labor Relations Board - M,4,8,12,12
National Labor Relations Board - National Labor Relations Board - L,0,0,0,0
National Mediation Board - National Mediation Board - H,0,0,0,0
National Mediation Board - National Mediation Board - M,0,6,5,5
National Mediation Board - National Mediation Board - L,0,10,9,9
National Science Foundation - National Science Foundation - H,0,0,0,0
National Science Foundation - National Science Foundation - M,2,1,3,3
National Science Foundation - National Science Foundation - L,0,0,0,0
National Science Foundation - United States Antarctic Program - H,0,0,0,0
National Science Foundation - United States Antarctic Program - M,0,1,1,0
National Science Foundation - United States Antarctic Program - L,0,0,0,0
National Transportation Safety Board - National Transportation Safety Board - H,0,0,0,0
National Transportation Safety Board - National Transportation Safety Board - M,2,7,9,9
National Transportation Safety Board - National Transportation Safety Board - L,0,0,0,0
Nuclear Regulatory Commission - Nuclear Regulatory Commission - H,1,0,1,1
Nuclear Regulatory Commission - Nuclear Regulatory Commission - M,10,2,12,8
Nuclear Regulatory Commission - Nuclear Regulatory Commission - L,2,0,2,1
Nuclear Waste Technical Review Board - Nuclear Waste Technical Review Board - H,0,0,0,0
Nuclear Waste Technical Review Board - Nuclear Waste Technical Review Board - M,1,2,3,3
Nuclear Waste Technical Review Board - Nuclear Waste Technical Review Board - L,0,0,0,0
Occupational Safety and Health Review Commission - Occupational Safety and Health Review Commission - H,0,0,0,0
Occupational Safety and Health Review Commission - Occupational Safety and Health Review Commission - M,1,3,4,0
Occupational Safety and Health Review Commission - Occupational Safety and Health Review Commission - L,0,0,0,0
Office of Government Ethics - Office of Government Ethics - H,0,0,0,0
Office of Government Ethics - Office of Government Ethics - M,2,0,2,0
Office of Government Ethics - Office of Government Ethics - L,1,0,1,0
Office of Navajo and Hopi Indian Relocation - Office of Navajo and Hopi Indian Relocation - H,0,0,0,0
Office of Navajo and Hopi Indian Relocation - Office of Navajo and Hopi Indian Relocation - M,0,0,0,0
Office of Navajo and Hopi Indian Relocation - Office of Navajo and Hopi Indian Relocation - L,0,2,1,1
Office of Personnel Management - Office of Personnel Management - H,8,2,10,3
Office of Personnel Management - Office of Personnel Management - M,22,19,41,7
Office of Personnel Management - Office of Personnel Management - L,0,1,1,1
Office of Special Counsel - Office of Special Counsel - H,0,0,0,0
Office of Special Counsel - Office of Special Counsel - M,1,4,5,4
Office of Special Counsel - Office of Special Counsel - L,0,0,0,0
Office of the Comptroller of the Currency  - Office of the Comptroller of the Currency  - H,0,0,0,0
Office of the Comptroller of the Currency  - Office of the Comptroller of the Currency  - M,17,17,34,34
Office of the Comptroller of the Currency  - Office of the Comptroller of the Currency  - L,1,2,3,3
Peace Corps - Peace Corps - H,0,0,0,0
Peace Corps - Peace Corps - M,8,4,12,12
Peace Corps - Peace Corps - L,1,1,2,2
Pension Benefit Guaranty Corporation - Pension Benefit Guaranty Corporation - H,0,0,0,0
Pension Benefit Guaranty Corporation - Pension Benefit Guaranty Corporation - M,6,10,16,16
Pension Benefit Guaranty Corporation - Pension Benefit Guaranty Corporation - L,1,0,1,1
Postal Regulatory Commission - Postal Regulatory Commission - H,0,0,0,0
Postal Regulatory Commission - Postal Regulatory Commission - M,0,5,2,0
Postal Regulatory Commission - Postal Regulatory Commission - L,0,0,0,0
Presidio Trust - Presidio Trust - H,25,33,0,0
Presidio Trust - Presidio Trust - M,10,21,0,0
Presidio Trust - Presidio Trust - L,9,18,0,0
Privacy and Civil Liberties Oversight Board - Privacy and Civil Liberties Oversight Board - H,0,0,0,0
Privacy and Civil Liberties Oversight Board - Privacy and Civil Liberties Oversight Board - M,1,2,3,0
Privacy and Civil Liberties Oversight Board - Privacy and Civil Liberties Oversight Board - L,0,0,0,0
Railroad Retirement Board - Railroad Retirement Board - H,0,0,0,0
Railroad Retirement Board - Railroad Retirement Board - M,4,10,10,10
Railroad Retirement Board - Railroad Retirement Board - L,0,0,0,0
Securities and Exchange Commission - Securities and Exchange Commission - H,0,0,0,0
Securities and Exchange Commission - Securities and Exchange Commission - M,62,43,94,0
Securities and Exchange Commission - Securities and Exchange Commission - L,0,2,2,0
Selective Service System - Selective Service System - H,0,0,0,0
Selective Service System - Selective Service System - M,1,0,1,1
Selective Service System - Selective Service System - L,0,0,0,0
Small Business Administration - Small Business Administration - H,0,0,0,0
Small Business Administration - Small Business Administration - M,12,13,25,0
Small Business Administration - Small Business Administration - L,1,3,4,0
Smithsonian Institution - Smithsonian Institution - H,0,0,0,0
Smithsonian Institution - Smithsonian Institution - M,0,0,0,0
Smithsonian Institution - Smithsonian Institution - L,0,0,0,0
Social Security Administration - Social Security Administration - H,0,0,0,0
Social Security Administration - Social Security Administration - M,148,22,104,0
Social Security Administration - Social Security Administration - L,20,5,12,0
Social Security Advisory Board - Social Security Advisory Board - H,0,0,0,0
Social Security Advisory Board - Social Security Advisory Board - M,0,0,0,0
Social Security Advisory Board - Social Security Advisory Board - L,0,0,0,0
Surface Transportation Board - Surface Transportation Board - H,0,0,0,0
Surface Transportation Board - Surface Transportation Board - M,1,8,9,8
Surface Transportation Board - Surface Transportation Board - L,0,0,0,0
Tennessee Valley Authority - Tennessee Valley Authority - H,4,0,4,0
Tennessee Valley Authority - Tennessee Valley Authority - M,41,0,41,0
Tennessee Valley Authority - Tennessee Valley Authority - L,6,0,6,0
U.S. International Development Finance Corporation - U.S. International Development Finance Corporation - H,0,0,0,0
U.S. International Development Finance Corporation - U.S. International Development Finance Corporation - M,4,4,4,4
U.S. International Development Finance Corporation - U.S. International Development Finance Corporation - L,0,0,0,0
U.S. Trade and Development Agency - U.S. Trade and Development Agency - H,0,0,0,0
U.S. Trade and Development Agency - U.S. Trade and Development Agency - M,1,4,5,5
U.S. Trade and Development Agency - U.S. Trade and Development Agency - L,0,0,0,0
United States AbilityOne Commission - United States AbilityOne Commission - H,0,0,0,0
United States AbilityOne Commission - United States AbilityOne Commission - M,2,0,2,0
United States AbilityOne Commission - United States AbilityOne Commission - L,0,0,0,0
United States Access Board - United States Access Board - H,0,0,0,0
United States Access Board - United States Access Board - M,1,0,1,0
United States Access Board - United States Access Board - L,0,0,0,0
United States Agency for Global Media - Broadcasting Board of Governors - H,0,1,1,0
United States Agency for Global Media - Broadcasting Board of Governors - M,11,16,27,0
United States Agency for Global Media - Broadcasting Board of Governors - L,8,6,12,0
United States Agency for International Development (USAID) - United States Agency for International Development (USAID) - H,0,0,0,0
United States Agency for International Development (USAID) - United States Agency for International Development (USAID) - M,34,9,43,0
United States Agency for International Development (USAID) - United States Agency for International Development (USAID) - L,2,0,2,0
United States Institute of Peace - United States Institute of Peace - H,0,0,0,0
United States Institute of Peace - United States Institute of Peace - M,0,0,0,0
United States Institute of Peace - United States Institute of Peace - L,0,0,0,0
United States Interagency Council on Homelessness - United States Interagency Council on Homelessness - H,0,0,0,0
United States Interagency Council on Homelessness - United States Interagency Council on Homelessness - M,0,0,0,0
United States Interagency Council on Homelessness - United States Interagency Council on Homelessness - L,0,0,0,0
